vertices,nanoseconds_sorted,nanoseconds_random,nanoseconds_inverted
23,67399,73443,72893
23,67429,72774,71903
23,67203,72992,76176
23,70530,72632,80601
23,72338,77135,89294
23,73206,81724,79894
23,71423,80387,77500
23,72075,80473,76274
23,66608,73615,74553
23,64780,78916,72691
23,80033,74229,97631
23,66762,72457,102648
23,68184,80660,76539
23,89237,74773,748339
23,73061,77291,76102
23,68440,70980,71866
23,70939,75267,209615
23,74408,79627,77296
23,72116,76001,77524
23,72425,77046,76856
23,72997,75791,76774
23,585949,76469,79128
23,72856,80403,75467
23,104702,76452,74121
23,70533,74140,74568
23,70395,75716,78448
23,93107,73490,79829
23,81149,75059,99814
23,66962,74624,126239
23,94510,80971,90593
23,80687,91430,77906
23,76693,82906,80454
23,73194,78527,77514
23,74281,78516,80473
23,78315,78728,78651
23,68727,78761,80445
23,441203,109319,76680
23,72000,75186,77194
23,70919,75583,84356
23,85124,86470,72993
23,68379,71383,84330
23,67990,80311,85175
23,69808,72152,74972
23,67599,75555,75529
23,68223,72776,80821
23,67687,73516,75736
23,68723,71896,77152
23,65376,76685,75206
23,69321,71916,74389
23,70062,75352,73635
23,69011,74126,73210
23,67875,76072,73100
23,66601,73273,71685
23,67430,72062,97347
23,73647,76669,72340
23,69026,74887,74714
23,67708,72581,73932
23,66992,74958,70619
23,68930,74865,71697
23,65344,74963,76533
23,73301,78726,80065
23,73887,76236,83114
23,869736,71655,117122
23,68843,99382,100336
23,71416,82799,71077
25,82936,113939,86134
25,81164,83256,82444
25,80769,82473,83172
25,78030,88492,83033
25,80595,79432,81090
25,80697,86727,79487
25,83917,81449,84389
25,83368,89592,86620
25,81895,88748,86464
25,81043,85935,84603
25,80755,84063,86140
25,77857,83782,82669
25,83171,102116,90847
25,207638,87091,232001
25,81287,83355,85033
25,81908,88172,89691
25,81847,87293,88914
25,78047,84615,81504
25,85486,84351,104142
25,131057,91507,200324
25,124106,158283,106674
25,103286,97202,104230
25,101031,545200,97903
25,89733,91957,97842
25,81949,94240,85921
25,81202,86596,86436
25,84235,84759,87729
25,82323,87237,88138
25,83816,86261,89020
25,85007,88929,90442
25,85887,87811,106399
25,111875,96782,102865
25,97487,97979,110695
25,96338,122738,111385
25,86250,101014,84785
25,171723,102583,171314
25,126428,205434,815769
25,92341,103400,86359
25,85432,89056,90713
25,78096,88233,87860
25,2.05437e+06,86102,102129
25,103004,101257,90680
25,324494,88325,96952
25,85939,104403,88903
25,153004,89287,109839
25,89703,100963,87633
25,1.34604e+06,90556,91110
25,83522,86830,348408
25,201764,90946,86729
25,157067,85005,93353
25,84114,88384,91221
25,114217,88211,93421
25,86665,99387,91314
25,93998,92970,92399
25,85878,87477,95859
25,86902,102374,86933
25,138564,88207,86072
25,91842,78298,89877
25,83358,87595,367234
25,81098,85581,81853
25,87614,93243,93149
25,82416,84850,84392
25,83086,87744,86928
25,97249,106962,148463
25,85006,91567,87174
25,84368,86971,86907
25,86181,90611,88840
25,85405,89516,87330
25,84856,92645,88942
25,85949,86623,87239
25,90676,88158,89290
25,184489,610014,87559
25,91602,85722,84801
25,236606,99698,104843
25,99068,195291,106734
25,92737,93712,105967
25,98549,94979,2.73618e+06
25,89489,96827,193731
25,109590,96948,85425
25,83805,86143,83790
25,80249,83000,81880
25,78490,83545,83317
25,77410,84315,85909
25,83300,83378,88610
25,149737,90293,82995
25,126382,84604,88700
25,139044,88113,98035
25,92932,90240,112889
25,85543,86784,117208
25,87334,241330,86110
25,82551,87021,87013
25,83398,85636,87389
25,109797,90253,576360
25,264228,89387,90488
25,83062,88132,88161
