vertices,nanoseconds_sorted,nanoseconds_random,nanoseconds_inverted
23,73126,75552,75512
23,74105,79082,74943
23,68767,77067,76525
23,75894,80314,77139
23,129722,77644,79780
23,70458,81405,78785
23,68867,73722,72201
23,69019,74148,83007
23,67661,83309,74512
23,70436,76999,77410
23,224477,77291,76677
23,108140,85589,82766
23,129697,206655,95049
23,82284,111435,110450
23,68814,74193,424626
23,74598,71406,76257
23,67402,71743,77252
23,67346,75498,74460
23,75574,72343,104433
23,71473,74813,75295
23,68467,74906,82258
23,65912,75004,83753
23,69747,77636,69666
25,86648,84171,97716
25,82634,84325,86051
25,80406,82106,90748
25,93084,98489,93714
25,97739,109642,547546
25,104562,91703,92657
25,89752,89060,87926
25,89214,94430,98211
25,86862,104107,347568
25,96772,90948,108724
25,86435,88177,90872
25,95145,943608,98463
25,89263,96250,98120
25,3.85375e+07,95129,87844
25,78719,84194,83480
25,78836,83475,84470
25,79731,82905,84962
25,76926,83988,82309
25,82714,84693,86292
25,103935,88011,101699
25,103969,99560,1.29844e+06
25,95605,93996,98007
25,96131,2.64665e+06,121877
25,126103,119760,142981
25,85301,119484,97627
25,78674,85463,85672
25,106904,886700,127522
25,89736,98956,90919
25,73042,321302,82936
25,616474,85584,217853
25,80941,109209,428852
25,3.7461e+06,94091,139355
25,81020,92051,104134
25,77673,91082,87009
25,1.00364e+06,80730,89610
25,108042,108885,102324
25,96845,100720,110339
25,96938,100372,99673
25,96617,98977,133330
25,89691,6.37168e+07,94671
25,89967,686275,95585
25,131232,93680,2.83921e+06
25,125041,93268,92984
25,302907,103053,103028
25,102616,99056,110519
25,106082,110554,123454
25,97110,108247,113800
25,110407,109180,119385
25,109265,112103,98614
25,140197,98419,117274
25,106752,110609,106749
25,104783,97264,103211
25,87814,97884,99511
25,117476,103056,122852
25,107140,117881,118166
25,108918,105748,109058
25,89145,1.55841e+06,106453
25,89258,91914,90924
25,96554,98971,96971
25,88238,97651,89196
25,98295,90435,99073
25,90937,90162,106115
25,100906,95242,103467
25,83747,98391,100682
25,176355,392907,98501
25,101324,1.22515e+06,134211
25,91308,103832,224348
25,199721,86826,98102
25,101200,97333,100559
25,92006,109053,98356
25,81412,89554,105265
25,78644,82562,86341
25,80815,83288,85443
25,84660,83933,85171
25,86948,92938,86940
25,598911,111076,84618
25,86617,88776,118997
25,86479,86152,253252
25,105877,136356,89586
25,83557,90945,88614
25,85547,232034,102805
25,82754,85542,89565
25,101822,88701,86856
25,90707,90148,90916
25,83297,85351,86807
25,81582,83414,83875
25,85011,87300,82009
25,368845,88247,107722
25,83472,87522,86099
25,80638,86989,87110
25,82687,84037,87534
25,83309,85041,85089
25,82246,89679,180025
25,83814,89872,85062
25,84368,86080,89457
25,82330,87531,86805
25,98378,956468,104796
25,105238,96205,101396
25,107801,100860,110454
25,120588,110053,134813
27,105597,108790,105365
27,101700,106009,106939
27,104365,108744,109224
27,104417,107289,105924
27,103804,105640,109582
27,104628,108385,105850
27,103725,105236,103139
27,106130,104329,103884
27,140030,104645,103589
27,115655,105490,97298
27,167036,215526,199965
27,140083,169929,133083
27,102796,115405,5.41664e+06
27,102135,105160,97628
27,98904,101949,104486
27,99476,104499,101672
27,98316,104578,108933
27,97761,99969,110729
27,102528,100135,108555
27,123028,101614,104498
27,100349,103315,103236
27,97768,99214,101337
27,99411,100664,99374
27,100422,99128,100457
27,104572,103982,105976
27,107689,107295,105428
27,103794,98958,104432
27,104584,103865,106254
27,104913,104693,104888
27,101266,105420,106652
27,103546,106665,107788
27,100544,3.29686e+06,103002
27,98898,100503,100921
27,98194,101699,101075
27,99432,98147,98589
27,98698,102758,99496
27,100253,157170,102406
27,99685,102288,101275
27,99074,102366,101504
27,99960,100921,99426
27,94050,100397,98766
27,98421,96239,99449
27,98796,102876,100200
27,98645,100209,101950
27,95148,100609,100294
27,101616,97409,98847
27,102358,115530,102693
27,105872,106107,108835
27,104357,105953,104661
27,105123,106403,106718
27,102879,107432,114399
27,102426,104891,106678
27,103873,107927,108020
27,98855,108168,102277
27,98357,99659,99812
27,98345,100167,101874
27,100181,99437,101576
27,99788,103057,104079
27,100532,101794,101764
27,97876,100638,103596
27,100045,100840,103255
27,98939,96697,99667
27,99134,103830,100689
27,98467,102562,102553
27,98992,101567,104172
27,99197,100785,101974
27,98169,101803,102062
27,99100,103464,100688
27,98331,99997,101345
27,112084,106259,100213
27,101144,106906,105680
27,102528,102442,103047
27,123720,105213,103425
27,101399,101130,96660
27,96579,102557,96910
27,101512,100770,101659
27,100460,103280,100033
27,101231,101419,100437
27,129132,101000,98793
27,217319,102107,99096
27,98884,102315,101439
27,99278,103232,100794
27,97832,101403,99827
27,99468,102528,100874
27,97359,99860,105208
27,91315,98712,98014
27,99659,97456,95621
27,98078,101908,106013
27,106827,102235,101390
27,109012,104429,105078
27,102101,96356,102574
27,97575,158304,101239
27,107891,94958,137329
27,99611,100558,102027
27,99369,101798,100295
27,98420,102325,101766
27,98376,98490,100247
27,91963,100092,102763
27,115406,148185,128233
27,108708,119681,114875
29,120840,123324,135873
29,124334,129133,130721
29,543966,123950,168315
29,1.8682e+06,515620,417043
29,120421,2.71515e+07,126760
29,731401,117310,200031
29,129503,125509,121392
29,116073,120622,122551
29,115807,120159,121671
29,113580,114242,113319
29,112366,114465,113075
29,107330,114564,112161
29,110309,127527,110623
29,110564,117327,115017
29,111480,120369,117538
29,108977,116478,114024
29,108203,118340,114648
29,110282,114853,116392
29,109894,140382,121887
29,107383,116729,139225
29,107522,113084,115726
29,1.01882e+07,114460,112906
29,112479,124933,119033
29,111595,121428,117838
29,108443,117519,158937
29,110424,116805,116688
29,110448,367257,118122
29,109937,121497,118485
29,111230,116122,117120
29,110414,140463,114652
29,107686,113078,114421
29,106335,113107,112031
29,106428,111855,109315
29,105512,113727,114118
29,107293,119991,112873
29,107248,116093,115891
29,105620,113681,111779
29,107010,111502,121117
29,107238,109975,110631
29,112312,6.42739e+06,118777
29,111568,119052,117716
29,111827,120584,117389
29,101719,118199,120152
29,109282,118483,115114
29,112073,117945,116162
29,111925,115835,110226
29,111711,117844,118071
29,111573,119120,119468
