clients,factories,routes,nanoseconds
11,10,210,44032
11,10,210,43570
11,10,210,43959
11,10,210,43147
11,10,210,43399
11,10,210,43578
11,10,210,43891
11,10,210,42993
11,10,210,44022
11,10,210,43825
11,10,210,43537
11,10,210,44262
11,10,210,43652
11,10,210,42630
11,10,210,45057
11,10,210,42043
11,10,210,42381
11,10,210,41984
11,10,210,44024
11,10,210,42672
11,10,210,43841
11,10,210,43767
11,10,210,43044
11,10,210,42832
11,10,210,42309
11,10,210,43474
11,10,210,43737
11,10,210,43431
11,10,210,44007
11,10,210,42250
11,10,210,44148
11,10,210,42535
11,10,210,43698
11,10,210,43682
11,10,210,42899
11,10,210,42851
11,10,210,43063
11,10,210,43193
11,10,210,43821
11,10,210,42626
11,10,210,44056
11,10,210,42952
11,10,210,43718
11,10,210,42463
11,10,210,44142
11,10,210,42566
11,10,210,43018
11,10,210,44615
11,10,210,44893
11,10,210,43300
11,10,210,44013
11,10,210,42811
11,10,210,43186
11,10,210,43795
11,10,210,44625
11,10,210,44389
11,10,210,44003
11,10,210,44826
11,10,210,43050
11,10,210,43714
11,10,210,44932
11,10,210,44493
11,10,210,44146
11,10,210,44159
11,10,210,44833
12,11,253,53644
12,11,253,67389
12,11,253,77696
12,11,253,68978
12,11,253,70324
12,11,253,55437
12,11,253,71491
12,11,253,78586
12,11,253,75155
12,11,253,66155
12,11,253,52945
12,11,253,52472
12,11,253,51771
12,11,253,51825
12,11,253,51738
12,11,253,50850
12,11,253,52462
12,11,253,51812
12,11,253,80815
12,11,253,69806
12,11,253,74520
12,11,253,70910
12,11,253,69760
12,11,253,75362
12,11,253,74353
12,11,253,74770
12,11,253,79601
12,11,253,71381
12,11,253,73879
12,11,253,76277
12,11,253,73272
12,11,253,71349
12,11,253,84100
12,11,253,74700
12,11,253,74291
12,11,253,76814
12,11,253,75362
12,11,253,75018
12,11,253,75146
12,11,253,73540
12,11,253,51462
12,11,253,65998
12,11,253,75595
12,11,253,69333
12,11,253,51603
12,11,253,51572
12,11,253,73907
12,11,253,83102
12,11,253,74607
12,11,253,75034
12,11,253,74615
12,11,253,73327
12,11,253,75679
12,11,253,77005
12,11,253,74125
12,11,253,80900
12,11,253,80309
12,11,253,85674
12,11,253,72843
12,11,253,74969
12,11,253,74420
12,11,253,73653
12,11,253,75780
12,11,253,71941
12,11,253,76786
12,11,253,74148
12,11,253,64265
12,11,253,74213
12,11,253,76831
12,11,253,73761
12,11,253,75476
12,11,253,74905
12,11,253,74577
12,11,253,70438
12,11,253,73747
12,11,253,72902
12,11,253,73454
12,11,253,73170
12,11,253,83141
12,11,253,72887
12,11,253,73691
12,11,253,70501
12,11,253,74440
12,11,253,85691
12,11,253,72726
12,11,253,75444
12,11,253,78749
12,11,253,73745
12,11,253,72879
12,11,253,77889
12,11,253,71038
12,11,253,109935
12,11,253,73516
12,11,253,74290
12,11,253,70189
12,11,253,73576
12,11,253,75543
12,11,253,72862
12,11,253,92728
12,11,253,73211
13,12,300,88743
13,12,300,96799
13,12,300,88440
13,12,300,87340
13,12,300,87757
13,12,300,87718
13,12,300,88241
13,12,300,84289
13,12,300,85573
13,12,300,87485
13,12,300,90017
13,12,300,66952
13,12,300,61669
13,12,300,60853
13,12,300,59426
13,12,300,60062
13,12,300,61336
13,12,300,62583
13,12,300,65570
13,12,300,87329
13,12,300,86663
13,12,300,88343
13,12,300,87906
13,12,300,83001
13,12,300,83705
13,12,300,82472
13,12,300,84018
13,12,300,85129
13,12,300,83023
13,12,300,84233
13,12,300,83914
13,12,300,85081
13,12,300,86231
13,12,300,92067
13,12,300,87890
13,12,300,89934
13,12,300,88366
13,12,300,86678
13,12,300,87970
13,12,300,88520
13,12,300,87291
13,12,300,89460
13,12,300,459600
13,12,300,96268
13,12,300,89774
13,12,300,85124
13,12,300,87522
13,12,300,91365
13,12,300,87409
13,12,300,89933
13,12,300,90082
13,12,300,91896
13,12,300,86686
13,12,300,84945
13,12,300,87040
13,12,300,83596
13,12,300,87457
13,12,300,83610
13,12,300,84446
13,12,300,89815
13,12,300,89026
13,12,300,88833
13,12,300,90499
13,12,300,85823
13,12,300,82863
13,12,300,85333
13,12,300,88360
13,12,300,84887
13,12,300,83714
13,12,300,84515
13,12,300,85971
13,12,300,82225
13,12,300,86798
13,12,300,82724
13,12,300,84651
13,12,300,85012
13,12,300,88126
13,12,300,89126
13,12,300,88673
13,12,300,87211
13,12,300,90365
13,12,300,87774
13,12,300,86978
13,12,300,91270
13,12,300,96405
13,12,300,94928
13,12,300,93921
13,12,300,88478
13,12,300,86600
13,12,300,92437
13,12,300,93428
13,12,300,86690
13,12,300,88423
13,12,300,86510
13,12,300,87676
13,12,300,89107
13,12,300,86967
13,12,300,90748
13,12,300,97775
13,12,300,90169
14,13,351,103922
14,13,351,107954
14,13,351,100649
14,13,351,102688
14,13,351,102733
14,13,351,101451
14,13,351,106635
14,13,351,102753
14,13,351,101732
14,13,351,97366
14,13,351,95841
14,13,351,98583
14,13,351,99210
14,13,351,100815
14,13,351,112524
14,13,351,102425
14,13,351,191074
14,13,351,94267
14,13,351,78248
14,13,351,99717
14,13,351,96134
14,13,351,99027
14,13,351,103362
14,13,351,112801
14,13,351,103148
14,13,351,102968
14,13,351,100618
14,13,351,101508
14,13,351,102123
14,13,351,103242
14,13,351,102110
14,13,351,99752
14,13,351,104355
14,13,351,96943
14,13,351,99640
14,13,351,99244
14,13,351,108129
14,13,351,119961
14,13,351,108054
14,13,351,102321
14,13,351,101430
14,13,351,103246
14,13,351,100687
14,13,351,101270
14,13,351,96874
14,13,351,98109
14,13,351,97478
14,13,351,99577
14,13,351,99353
14,13,351,103272
14,13,351,101333
14,13,351,92643
14,13,351,74738
14,13,351,73726
14,13,351,97276
14,13,351,98469
14,13,351,98173
14,13,351,102500
14,13,351,99960
14,13,351,99848
14,13,351,99521
14,13,351,99631
14,13,351,98365
14,13,351,119678
14,13,351,112182
14,13,351,99609
14,13,351,106384
14,13,351,100400
14,13,351,99717
14,13,351,98096
14,13,351,99045
14,13,351,115684
