clients,factories,routes,nanoseconds
51,49,113,81235
51,49,113,72458
51,49,113,73604
51,49,113,72923
51,49,113,71089
51,49,113,69337
51,49,113,72829
51,49,113,100730
51,49,113,70951
51,49,113,74390
51,49,113,82969
51,49,113,78067
51,49,113,71882
51,49,113,80649
51,49,113,120507
51,49,113,81600
51,49,113,70808
51,49,114,69861
51,49,114,82708
51,49,114,73239
51,49,114,72349
51,49,114,69805
51,49,114,77088
51,49,114,75924
51,49,114,74461
51,49,114,67811
51,49,114,99491
51,49,114,72355
51,49,114,79300
51,49,114,71487
51,49,114,73938
51,49,114,81790
51,49,114,72793
51,49,114,96643
51,49,114,98603
51,49,114,110037
51,49,114,88356
51,49,114,82483
51,49,114,75582
51,49,114,113371
51,49,114,90881
51,49,114,85611
51,49,114,71993
51,49,114,84425
51,49,114,82355
51,49,114,72015
51,49,114,71416
51,49,114,71172
51,49,114,74820
51,49,114,73288
51,49,114,110492
51,49,114,72408
51,49,114,70035
51,49,114,87551
51,49,114,84050
51,49,114,75594
51,49,114,72081
51,49,114,70354
51,49,114,75460
51,49,114,74590
51,49,114,71055
51,49,114,72141
51,49,114,111617
51,49,114,72985
51,49,114,71231
51,49,114,70684
51,49,114,70499
51,49,115,73169
51,49,115,71793
51,49,115,75896
51,49,115,124990
51,49,115,74139
51,49,115,72209
51,49,115,72760
51,49,115,69662
51,49,115,74891
51,49,115,73079
51,49,115,82465
51,49,115,72627
51,49,115,79018
51,49,115,71027
51,49,115,75617
51,49,115,159634
51,49,115,67867
51,49,115,47260
51,49,115,51118
51,49,115,70131
51,49,115,50280
51,49,115,78270
51,49,115,48482
51,49,115,49811
51,49,115,50415
51,49,115,64750
51,49,115,49537
51,49,115,49601
51,49,115,49967
51,49,115,49739
51,49,115,55998
51,49,115,49104
51,49,115,49798
51,49,115,63178
51,49,115,49304
51,49,115,47239
51,49,115,53471
51,49,115,53633
51,49,115,53515
51,49,115,80211
51,49,115,48723
51,49,115,51823
51,49,115,47949
51,49,115,268394
51,49,115,78199
51,49,115,62621
51,49,115,49816
51,49,115,67029
51,49,115,51442
51,49,115,48657
51,49,116,77385
51,49,116,91184
51,49,116,104816
51,49,116,65216
51,49,116,48230
51,49,116,65121
51,49,116,70760
51,49,116,55850
51,49,116,63996
51,49,116,100481
51,49,116,50915
51,49,116,50676
51,49,116,53820
51,49,116,62230
51,49,116,61803
51,49,116,53756
51,49,116,61538
51,49,116,66555
51,49,116,53174
51,49,116,65763
51,49,116,66872
51,49,116,62414
51,49,116,51274
51,49,116,50414
51,49,116,50336
51,49,116,52894
51,49,116,48730
51,49,116,53947
51,49,116,49944
51,49,116,51181
51,49,116,52822
51,49,116,48678
51,49,116,59530
51,49,116,61496
51,49,116,51614
51,49,116,52203
51,49,116,51230
51,49,116,69866
51,49,116,59328
51,49,116,56815
51,49,116,55600
51,49,116,49441
51,49,116,62246
51,49,116,51047
51,49,116,46305
51,49,116,226365
51,49,116,50686
51,49,116,53186
51,49,116,50861
51,49,116,51289
51,49,117,58292
51,49,117,54022
51,49,117,54757
51,49,117,53481
51,49,117,50226
51,49,117,53627
51,49,117,51297
51,49,117,125801
51,49,117,52663
51,49,117,46696
51,49,117,84630
51,49,117,48334
51,49,117,64359
51,49,117,72851
51,49,117,50709
51,49,117,49600
51,49,117,47840
51,49,117,76178
51,49,117,53642
51,49,117,48353
51,49,117,52175
51,49,117,54333
51,49,117,71350
51,49,117,143367
51,49,117,74246
51,49,117,78876
51,49,117,108280
51,49,117,92114
51,49,117,95223
51,49,117,75163
51,49,117,72899
51,49,117,92968
51,49,117,85738
51,49,117,70842
51,49,117,398907
51,49,117,85908
51,49,117,87020
51,49,117,84837
51,49,117,66258
51,49,117,69448
51,49,117,73820
51,49,117,91969
51,49,117,72813
51,49,117,74530
51,49,117,81718
51,49,117,454824
51,49,117,543885
51,49,117,608308
51,49,117,403202
51,49,117,384089
51,49,118,72264
51,49,118,74784
51,49,118,73625
51,49,118,73900
51,49,118,70268
51,49,118,74789
51,49,118,75080
51,49,118,75718
51,49,118,72977
51,49,118,71765
51,49,118,72871
51,49,118,69957
51,49,118,84451
51,49,118,74849
51,49,118,70183
51,49,118,72562
51,49,118,68199
51,49,118,51550
51,49,118,47353
51,49,118,47554
51,49,118,49840
51,49,118,48751
51,49,118,75083
51,49,118,73634
51,49,118,55350
51,49,118,71580
51,49,118,74160
51,49,118,68151
51,49,118,69592
51,49,118,72528
51,49,118,89300
51,49,118,71319
51,49,118,68638
51,49,118,78799
51,49,118,74294
51,49,118,79100
51,49,118,68397
51,49,118,72824
51,49,118,76854
51,49,118,75059
51,49,118,74923
51,49,118,69961
51,49,118,73369
51,49,118,85562
51,49,118,129072
51,49,118,78100
51,49,118,104140
51,49,118,94415
51,49,118,73327
51,49,118,75339
51,49,119,2.1491e+06
51,49,119,73500
51,49,119,770957
51,49,119,964308
51,49,119,74448
51,49,119,71011
51,49,119,88822
51,49,119,3.64719e+06
51,49,119,311978
51,49,119,72888
51,49,119,74602
51,49,119,74854
51,49,119,77507
51,49,119,74724
51,49,119,70224
51,49,119,74915
51,49,119,543119
51,49,119,106832
51,49,119,73554
51,49,119,405704
51,49,119,74388
51,49,119,270363
51,49,119,72627
51,49,119,99091
51,49,119,77685
51,49,119,73518
51,49,119,73571
51,49,119,68462
51,49,119,76492
51,49,119,76332
51,49,119,76552
51,49,119,74165
51,49,119,74167
51,49,119,70591
51,49,119,75102
51,49,119,71419
51,49,119,74436
51,49,119,73025
51,49,119,73039
51,49,119,75017
51,49,119,68188
51,49,119,103057
51,49,119,70753
51,49,119,77324
51,49,119,76979
51,49,119,76042
51,49,119,71908
51,49,119,104907
51,49,119,177011
51,49,119,76926
51,49,120,75929
51,49,120,80737
51,49,120,78329
51,49,120,77190
51,49,120,72631
51,49,120,76349
51,49,120,75437
51,49,120,76147
51,49,120,155488
51,49,120,73362
51,49,120,73151
51,49,120,75248
51,49,120,73837
51,49,120,75474
51,49,120,194655
51,49,120,69023
