factories,nanoseconds
112,1.61115e+08
112,1.64152e+08
112,1.63382e+08
112,1.56046e+08
113,1.56051e+08
113,1.60061e+08
113,1.55756e+08
113,1.61639e+08
113,1.62176e+08
113,1.66665e+08
113,1.59198e+08
113,1.56749e+08
113,1.64549e+08
113,1.56687e+08
113,1.6883e+08
113,1.67284e+08
113,1.66889e+08
113,1.6231e+08
113,1.58955e+08
113,1.58307e+08
113,1.57737e+08
113,1.58932e+08
113,1.57908e+08
113,1.58996e+08
113,1.56767e+08
113,1.58073e+08
113,1.58887e+08
113,1.57746e+08
113,1.5775e+08
113,1.55827e+08
113,1.59652e+08
113,1.56018e+08
113,1.56954e+08
113,1.61055e+08
113,1.55954e+08
113,1.63725e+08
113,1.60749e+08
113,1.6009e+08
113,1.578e+08
113,1.56244e+08
113,1.61077e+08
113,1.56245e+08
113,1.62534e+08
113,1.62438e+08
113,1.5645e+08
